fc_destination_code,proxy,uvac_destination,number_of_nights,offset
CZM,US,CZM,7,21
CZM,US,CZM,7,28
CZM,US,CZM,7,35
CZM,US,CZM,7,42
CZM,US,CZM,7,49
CZM,US,CZM,7,56
CZM,US,CZM,7,63
CZM,US,CZM,7,70
CZM,US,CZM,7,77
CZM,US,CZM,7,84
CZM,US,CZM,7,91
CZM,US,CZM,7,98
CZM,US,CZM,7,105
CZM,US,CZM,7,112
CZM,US,CZM,7,119
CZM,US,CZM,7,126
CZM,US,CZM,7,133
CZM,US,CZM,7,140
CZM,US,CZM,7,147
CZM,US,CZM,7,154
CZM,US,CZM,7,161
CZM,US,CZM,7,168
CZM,US,CZM,7,175
CZM,US,CZM,7,182
CZM,US,CZM,7,189
CZM,US,CZM,7,196
CZM,US,CZM,7,203
CZM,US,CZM,7,210
CZM,US,CZM,7,217
CZM,US,CZM,7,224
CZM,US,CZM,7,231
CZM,US,CZM,7,238
CZM,US,CZM,7,245
CZM,US,CZM,7,252
CZM,US,CZM,7,259
CZM,US,CZM,7,266
CZM,US,CZM,7,273
CZM,US,CZM,7,280
CZM,US,CZM,7,287
CZM,US,CZM,7,294
CZM,US,CZM,7,301
CZM,US,CZM,7,308
CZM,US,CZM,7,315
CZM,US,CZM,7,322
CZM,US,CZM,7,329
CZM,US,CZM,7,336
CZM,US,CZM,7,343
CZM,US,CZM,7,350
CZM,US,CZM,7,357
CZM,US,CZM,7,364
CZM,US,CZM,7,371
DUB,US,DUB,3,7
DUB,US,DUB,3,10
DUB,US,DUB,3,13
DUB,US,DUB,3,16
DUB,US,DUB,3,19
DUB,US,DUB,3,22
DUB,US,DUB,3,25
DUB,US,DUB,3,28
DUB,US,DUB,3,31
DUB,US,DUB,3,34
DUB,US,DUB,3,37
DUB,US,DUB,3,40
DUB,US,DUB,3,43
DUB,US,DUB,3,46
DUB,US,DUB,3,49
DUB,US,DUB,3,52
DUB,US,DUB,3,55
DUB,US,DUB,3,58
DUB,US,DUB,3,61
DUB,US,DUB,3,64
DUB,US,DUB,3,67
DUB,US,DUB,3,70
DUB,US,DUB,3,73
DUB,US,DUB,3,76
DUB,US,DUB,3,79
DUB,US,DUB,3,82
DUB,US,DUB,3,85
DUB,US,DUB,3,88
DUB,US,DUB,3,91
DUB,US,DUB,3,94
DUB,US,DUB,3,97
DUB,US,DUB,3,100
DUB,US,DUB,3,103
DUB,US,DUB,3,106
DUB,US,DUB,3,109
DUB,US,DUB,3,112
DUB,US,DUB,3,115
DUB,US,DUB,3,118
DUB,US,DUB,3,121
DUB,US,DUB,3,124
DUB,US,DUB,3,127
DUB,US,DUB,3,130
DUB,US,DUB,3,133
DUB,US,DUB,3,136
DUB,US,DUB,3,139
DUB,US,DUB,3,142
DUB,US,DUB,3,145
DUB,US,DUB,3,148
DUB,US,DUB,3,151
DUB,US,DUB,3,154
DUB,US,DUB,3,157
DUB,US,DUB,3,160
DUB,US,DUB,3,163
DUB,US,DUB,3,167
DUB,US,DUB,3,171
DUB,US,DUB,3,175
DUB,US,DUB,3,179
DUB,US,DUB,3,183
DUB,US,DUB,3,187
DUB,US,DUB,3,191
DUB,US,DUB,3,195
DUB,US,DUB,3,226
DUB,US,DUB,3,257
DUB,US,DUB,3,288
DUB,US,DUB,3,319
DUB,US,DUB,3,350
DUB,US,DUB,3,381
EYW,US,EYW,4,7
EYW,US,EYW,4,11
EYW,US,EYW,4,15
EYW,US,EYW,4,19
EYW,US,EYW,4,23
EYW,US,EYW,4,27
EYW,US,EYW,4,31
EYW,US,EYW,4,35
EYW,US,EYW,4,39
EYW,US,EYW,4,43
EYW,US,EYW,4,47
EYW,US,EYW,4,51
EYW,US,EYW,4,55
EYW,US,EYW,4,59
EYW,US,EYW,4,63
EYW,US,EYW,4,67
EYW,US,EYW,4,71
EYW,US,EYW,4,75
EYW,US,EYW,4,79
EYW,US,EYW,4,83
EYW,US,EYW,4,87
EYW,US,EYW,4,91
EYW,US,EYW,4,95
EYW,US,EYW,4,99
EYW,US,EYW,4,103
EYW,US,EYW,4,107
EYW,US,EYW,4,111
EYW,US,EYW,4,115
EYW,US,EYW,4,119
EYW,US,EYW,4,123
EYW,US,EYW,4,127
EYW,US,EYW,4,131
EYW,US,EYW,4,135
EYW,US,EYW,4,139
