fc_destination_code,proxy,uvac_destination,number_of_nights,offset
MAD,US,MAD,3,34
MAD,US,MAD,3,37
MAD,US,MAD,3,40
MAD,US,MAD,3,43
MAD,US,MAD,3,46
MAD,US,MAD,3,49
MAD,US,MAD,3,52
MAD,US,MAD,3,55
MAD,US,MAD,3,58
MAD,US,MAD,3,61
MAD,US,MAD,3,64
MAD,US,MAD,3,67
MAD,US,MAD,3,70
MAD,US,MAD,3,73
MAD,US,MAD,3,76
MAD,US,MAD,3,79
MAD,US,MAD,3,82
MAD,US,MAD,3,85
MAD,US,MAD,3,88
MAD,US,MAD,3,91
MAD,US,MAD,3,94
MAD,US,MAD,3,97
MAD,US,MAD,3,100
MAD,US,MAD,3,103
MAD,US,MAD,3,106
MAD,US,MAD,3,109
MAD,US,MAD,3,112
MAD,US,MAD,3,115
MAD,US,MAD,3,118
MAD,US,MAD,3,121
MAD,US,MAD,3,124
MAD,US,MAD,3,127
MAD,US,MAD,3,130
MAD,US,MAD,3,133
MAD,US,MAD,3,136
MAD,US,MAD,3,139
MAD,US,MAD,3,142
MAD,US,MAD,3,145
MAD,US,MAD,3,148
MAD,US,MAD,3,151
MAD,US,MAD,3,154
MAD,US,MAD,3,157
MAD,US,MAD,3,160
MAD,US,MAD,3,163
MAD,US,MAD,3,167
MAD,US,MAD,3,171
MAD,US,MAD,3,175
MAD,US,MAD,3,179
MAD,US,MAD,3,183
MAD,US,MAD,3,187
MAD,US,MAD,3,191
MAD,US,MAD,3,195
MAD,US,MAD,3,226
MAD,US,MAD,3,257
MAD,US,MAD,3,288
MAD,US,MAD,3,319
MAD,US,MAD,3,350
MAD,US,MAD,3,381
MBJ,US,MBJ,6,7
MBJ,US,MBJ,6,13
MBJ,US,MBJ,6,19
MBJ,US,MBJ,6,25
MBJ,US,MBJ,6,31
MBJ,US,MBJ,6,37
MBJ,US,MBJ,6,43
MBJ,US,MBJ,6,49
MBJ,US,MBJ,6,55
MBJ,US,MBJ,6,61
MBJ,US,MBJ,6,67
MBJ,US,MBJ,6,73
MBJ,US,MBJ,6,79
MBJ,US,MBJ,6,85
MBJ,US,MBJ,6,91
MBJ,US,MBJ,6,97
MBJ,US,MBJ,6,103
MBJ,US,MBJ,6,109
MBJ,US,MBJ,6,115
MBJ,US,MBJ,6,121
MBJ,US,MBJ,6,127
MBJ,US,MBJ,6,133
MBJ,US,MBJ,6,139
MBJ,US,MBJ,6,145
MBJ,US,MBJ,6,151
MBJ,US,MBJ,6,157
MBJ,US,MBJ,6,163
